received_timestamp,cardIndex,currentReward,finalKontostand,klickZeiten,timestamp,,values
2025-01-31T09:22:54.754777+00:00,,,,,,,"{""EDA"": 0.699999988079071, ""ECG"": -0.9779999852180481}"
2025-01-31T09:22:54.755847+00:00,,,,,,,"{""EDA"": 1.0160000324249268, ""ECG"": 0.05299999937415123}"
2025-01-31T09:22:54.758452+00:00,,,,,,,"{""EDA"": 1.2630000114440918, ""ECG"": 0.9399999976158142}"
2025-01-31T09:22:54.760988+00:00,,,,,,,"{""EDA"": 1.621999979019165, ""ECG"": 0.3959999978542328}"
2025-01-31T09:22:54.762502+00:00,,,,,,,"{""EDA"": 1.909000039100647, ""ECG"": -0.7910000085830688}"
2025-01-31T09:22:55.755700+00:00,,,,,,,"{""EDA"": 1.784000039100647, ""ECG"": 0.4399999976158142}"
2025-01-31T09:22:55.756304+00:00,,,,,,,"{""EDA"": 1.5579999685287476, ""ECG"": -0.7950000166893005}"
2025-01-31T09:22:56.758795+00:00,,,,,,,"{""EDA"": 1.1109999418258667, ""ECG"": -0.7850000262260437}"
2025-01-31T09:22:56.760359+00:00,,,,,,,"{""EDA"": 0.871999979019165, ""ECG"": 0.5339999794960022}"
2025-01-31T09:22:56.761964+00:00,,,,,,,"{""EDA"": 0.5789999961853027, ""ECG"": 0.9409999847412109}"
2025-01-31T09:22:56.763474+00:00,,,,,,,"{""EDA"": 0.5, ""ECG"": -0.16599999368190765}"
2025-01-31T09:22:57.755484+00:00,,,,,,,"{""EDA"": 0.23600000143051147, ""ECG"": -0.9959999918937683}"
2025-01-31T09:22:57.757004+00:00,,,,,,,"{""EDA"": 0.10899999737739563, ""ECG"": -0.15399999916553497}"
2025-01-31T09:22:57.759600+00:00,,,,,,,"{""EDA"": 0.1420000046491623, ""ECG"": 0.9190000295639038}"
2025-01-31T09:22:57.761187+00:00,,,,,,,"{""EDA"": 0.012000000104308128, ""ECG"": 0.5170000195503235}"
2025-01-31T09:22:57.762800+00:00,,,,,,,"{""EDA"": -0.03999999910593033, ""ECG"": -0.7099999785423279}"
2025-01-31T09:22:58.756996+00:00,,,,,,,"{""EDA"": 0.05900000035762787, ""ECG"": -0.8230000138282776}"
2025-01-31T09:22:58.757550+00:00,,,,,,,"{""EDA"": 0.2280000001192093, ""ECG"": 0.4269999861717224}"
2025-01-31T09:22:58.759323+00:00,,,,,,,"{""EDA"": 0.20999999344348907, ""ECG"": 0.9800000190734863}"
2025-01-31T09:22:58.760373+00:00,,,,,,,"{""EDA"": 0.4699999988079071, ""ECG"": -0.11900000274181366}"
2025-01-31T09:22:58.760886+00:00,,,,,,,"{""EDA"": 0.7080000042915344, ""ECG"": -0.9490000009536743}"
2025-01-31T09:22:59.758992+00:00,,,,,,,"{""EDA"": 0.9330000281333923, ""ECG"": -0.3490000069141388}"
2025-01-31T09:22:59.760717+00:00,,,,,,,"{""EDA"": 1.3350000381469727, ""ECG"": 0.8560000061988831}"
2025-01-31T09:22:59.762313+00:00,,,,,,,"{""EDA"": 1.6130000352859497, ""ECG"": 0.6880000233650208}"
2025-01-31T09:22:59.762848+00:00,,,,,,,"{""EDA"": 1.937999963760376, ""ECG"": -0.5950000286102295}"
2025-01-31T09:23:00.750404+00:00,,,,,,,"{""EDA"": 2.171999931335449, ""ECG"": -0.9539999961853027}"
2025-01-31T09:23:00.751961+00:00,,,,,,,"{""EDA"": 2.5380001068115234, ""ECG"": 0.23499999940395355}"
